Epoch,TrainRMSE,ValidRMSE
1,1.043166,0.969046
2,0.927653,0.906583
3,0.890510,0.890824
4,0.875453,0.882470
5,0.865317,0.876316
6,0.856579,0.871397
7,0.848565,0.866991
8,0.841641,0.863620
9,0.834747,0.860619
10,0.829022,0.858228
11,0.823137,0.856128
12,0.818159,0.854474
13,0.813660,0.853273
14,0.810023,0.852308
15,0.806114,0.851557
16,0.803361,0.850862
17,0.800478,0.850522
18,0.798156,0.850262
19,0.796208,0.850014
20,0.794132,0.849707
21,0.792530,0.849633
22,0.791157,0.849564
23,0.789852,0.849455
24,0.788480,0.849397
25,0.787320,0.849248
26,0.786775,0.849229
27,0.785592,0.849287
28,0.784717,0.849273
29,0.784215,0.849307
30,0.783568,0.849327
31,0.783023,0.849257
32,0.782514,0.849199
33,0.782297,0.849184
34,0.781580,0.849170
35,0.780940,0.849251
36,0.780731,0.849211
37,0.779992,0.849168
38,0.780030,0.849033
39,0.779870,0.848956
40,0.779262,0.849002
41,0.778831,0.849193
42,0.779060,0.849160
43,0.778622,0.849128
44,0.778532,0.849062
45,0.778225,0.849067
46,0.778354,0.848783
47,0.777986,0.848789
48,0.778113,0.848786
49,0.777748,0.848892
50,0.777545,0.848835
51,0.777423,0.848627
52,0.777286,0.848658
53,0.777244,0.848595
54,0.776867,0.848569
55,0.777030,0.848609
56,0.776683,0.848561
57,0.776839,0.848461
58,0.776453,0.848332
59,0.775943,0.848454
60,0.775925,0.848514
61,0.776217,0.848622
62,0.775887,0.848470
63,0.775663,0.848568
64,0.775697,0.848518
65,0.775573,0.848427
66,0.775575,0.848529
67,0.775878,0.848455
68,0.775687,0.848438
69,0.775557,0.848203
70,0.775497,0.848228
71,0.775348,0.848178
72,0.775507,0.848158
73,0.775169,0.848193
74,0.775364,0.848152
75,0.775200,0.847997
76,0.774980,0.848135
77,0.774806,0.848016
78,0.774884,0.848164
79,0.774657,0.848014
80,0.774636,0.848100
81,0.774606,0.847989
82,0.774613,0.847893
83,0.774682,0.847718
84,0.774362,0.847749
85,0.774532,0.847605
86,0.774492,0.847520
87,0.774272,0.847492
88,0.774707,0.847361
89,0.774158,0.847428
90,0.774493,0.847570
91,0.774433,0.847379
92,0.774274,0.847231
93,0.774547,0.847264
94,0.774496,0.847355
95,0.774225,0.847203
96,0.774443,0.847377
97,0.774287,0.847463
98,0.774146,0.847485
99,0.774539,0.847418
100,0.774412,0.847546
